mes,dia,hora,Ir_total,Ir_difusa,Temperatura
2,25,14,222,219,12.54
2,25,15,258,224,11.7
2,25,16,188,150,11.29
2,25,17,97,56,10.77
2,26,8,174,79,4.44
2,26,9,390,62,6.15
2,26,10,520,119,7.41
2,26,11,629,127,8.63
2,26,12,664,158,9.68
2,26,13,357,315,10.31
2,26,14,257,247,10.75
2,26,15,248,221,10.76
2,26,16,205,154,10.62
2,26,17,80,62,10.02
2,27,8,97,90,9
2,27,9,101,101,9.82
2,27,10,139,139,11.5
2,27,11,130,130,13.47
2,27,12,329,305,15.91
2,27,13,441,331,16.57
2,27,14,98,98,17.4
2,27,15,101,101,17.42
2,27,16,182,153,18.12
2,27,17,124,40,17.15
2,28,7,19,14,3.77
2,28,8,167,96,4.16
2,28,9,380,99,5.45
2,28,10,571,48,6.89
2,28,11,645,122,8.26
2,28,12,675,159,9.5
2,28,13,708,74,10.35
2,28,14,608,119,10.9
2,28,15,497,76,11.21
2,28,16,323,65,10.04
2,28,17,77,64,9.58
3,2,7,30,19,3.55
3,2,8,211,76,5.81
3,2,9,401,101,10.05
3,2,10,555,122,12.66
3,2,11,667,126,14.68
3,2,12,678,192,16.18
3,2,13,699,135,17.29
3,2,14,620,134,18.05
3,2,15,491,120,18.39
3,2,16,321,96,18.28
3,2,17,134,53,17.6
3,3,7,31,22,4.15
3,3,8,207,88,6.28
3,3,9,407,102,11.11
3,3,10,570,107,14.05
3,3,11,676,119,16.12
3,3,12,691,183,17.58
3,3,13,716,114,18.51
3,3,14,585,197,19.12
3,3,15,192,188,18.96
3,3,16,329,91,18.12
3,3,17,125,65,16.52
3,4,7,40,23,4.5
3,4,8,228,70,5.59
3,4,9,410,105,6.73
3,4,10,564,129,7.98
3,4,11,466,328,9.15
3,4,12,567,322,10.17
3,4,13,676,192,9.98
3,4,14,288,272,9.65
3,4,15,476,157,9.44
3,4,16,304,127,8.98
3,4,17,134,62,8.1
3,5,7,43,24,0.29
3,5,8,226,81,1.53
3,5,9,414,110,3.52
3,5,10,566,134,4.81
3,5,11,651,181,6.24
3,5,12,651,253,7.23
3,5,13,712,143,8.03
3,5,14,633,142,8.99
3,6,17,150,56,10.41
3,7,7,52,27,-0.43
3,7,8,240,81,0.73
3,7,9,431,104,4.31
3,7,10,585,125,7.3
3,7,11,696,127,10.14
3,7,12,693,214,12.46
3,7,13,746,99,14.08
3,7,14,680,71,14.92
3,7,15,535,88,15.08
3,7,16,347,94,14.72
3,7,17,70,67,13.74
3,8,7,54,31,-0.35
3,8,8,209,115,2.3
3,8,9,446,89,6.68
3,8,10,581,142,9.21
3,8,11,683,161,11.06
3,8,12,715,192,12.52
3,8,13,724,151,13.54
3,8,14,651,137,14.32
3,8,15,514,132,14.72
3,8,16,347,99,14.82
3,8,17,153,62,14.37
3,9,7,58,33,1.82
3,9,8,245,89,4.11
3,9,9,435,116,7.18
3,9,10,509,239,9.19
3,9,11,260,256,10.58
3,9,12,394,350,11.86
3,9,13,721,165,12.73
3,9,14,588,234,13.15
3,9,15,433,230,13.29
3,9,16,153,147,13.17
3,9,17,160,61,12.6
3,10,7,20,20,3.67
3,10,8,111,107,4.28
3,10,9,169,166,5.21
3,10,10,302,274,5.84
3,10,11,243,241,7.71
3,10,12,373,341,8.71
3,10,13,274,270,9.47
3,10,14,196,196,9.4
3,10,15,298,256,8.98
3,10,16,132,130,8.56
3,10,17,58,57,8.4
3,11,7,50,40,4.51
3,11,8,242,107,6.69
3,11,9,432,139,9.13
3,11,10,595,149,11.32
3,11,11,716,136,13.61
3,11,12,756,154,15.52
3,11,13,740,153,17.77
3,11,14,651,162,18.73
3,11,15,458,219,19
3,11,16,168,158,18.99
3,11,17,97,84,18.45
3,12,7,55,43,6.06
3,12,8,267,88,7.34
3,12,9,445,130,10.31
3,12,10,608,139,12.63
3,12,11,710,157,14.23
3,12,12,736,195,15.86
3,12,13,758,131,17.08
3,12,14,634,195,17.99
3,12,15,426,246,18.23
3,12,16,292,172,18.31
3,12,17,105,88,17.96
3,13,7,76,42,4.34
3,13,8,266,96,6.45
3,13,9,449,135,10.29
3,13,10,624,122,13.09
3,13,11,728,137,15.25
3,13,12,775,140,16.88
3,13,13,763,131,18.09
3,13,14,672,145,18.86
3,13,15,546,121,19.33
3,13,16,346,131,19.32
3,13,17,170,70,18.83
3,14,7,83,42,5.04
3,14,8,273,95,8.19
3,14,9,473,109,12.3
3,14,10,623,134,15.29
3,14,11,546,341,17.26
3,14,12,738,209,18.81
3,14,13,672,271,19.86
3,14,14,647,192,20.34
3,14,15,532,150,20.42
3,14,16,317,163,20.13
3,14,17,174,69,19.38
3,15,7,92,41,8.75
3,15,8,282,93,11.65
3,15,9,471,122,13.04
3,15,10,632,129,13.85
3,15,11,743,130,14.75
3,15,12,786,140,15.62
3,15,13,777,123,16.3
3,15,14,690,134,16.6
3,15,15,555,122,16.9
3,15,16,379,101,16.77
3,15,17,184,63,16.17
3,16,7,97,43,4.04
3,16,8,293,88,5.78
3,16,9,485,110,8.57
3,16,10,638,129,10.34
3,16,11,749,130,12.11
3,16,12,783,157,13.81
3,16,13,782,123,15.23
3,16,14,694,134,16.21
3,16,15,559,122,16.72
3,16,16,381,105,16.8
3,16,17,179,73,16.36
3,17,7,96,49,5.37
3,17,8,187,152,7.52
3,17,9,414,205,9.69
3,17,10,633,147,11.42
3,17,11,750,138,13.07
3,17,12,443,379,14.62
3,17,13,771,156,15.84
3,17,14,691,147,16.4
3,17,15,564,123,16.64
3,17,16,387,102,16.39
3,17,17,191,64,15.54
3,18,7,108,46,4.39
3,18,8,305,90,5.61
3,18,9,499,106,7.19
3,18,10,632,160,9.03
3,18,11,526,363,10.91
3,18,12,750,226,12.41
3,18,13,703,262,13.13
3,18,14,550,313,13.58
3,18,15,522,190,13.79
3,18,16,387,109,13.05
3,18,17,186,75,12.35
3,19,8,312,88,4.63
3,19,9,505,106,7.72
3,19,10,663,118,9.67
3,19,11,774,115,11.3
3,19,12,816,125,11.96
3,19,13,758,192,12.78
3,19,14,585,293,13.23
3,19,15,309,271,13.47
3,19,16,369,138,13.5
3,19,17,206,57,13.37
3,20,7,114,52,1.67
3,20,8,259,147,2.81
3,20,9,382,240,4.45
3,20,10,622,193,6.11
3,20,11,771,131,7.41
3,20,12,817,134,9.16
3,20,13,802,124,10.99
3,20,14,717,128,12.24
3,20,15,580,118,13.04
3,20,16,388,120,13.25
3,20,17,157,101,12.89
3,20,18,17,11,11.74
3,21,7,123,49,-0.3
3,21,8,320,95,2.88
3,21,9,512,117,5.87
3,21,10,671,125,8.38
3,21,11,785,115,10.77
3,21,12,835,107,12.83
3,21,13,790,157,14.54
3,21,14,717,135,15.85
3,21,15,578,130,16.57
3,21,16,407,97,16.61
3,21,17,187,88,15.86
3,21,18,22,12,14.25
3,22,7,130,49,5.95
3,22,8,138,133,7.38
3,22,9,315,255,9.27
3,22,10,370,320,11.34
3,22,11,651,310,12.2
3,22,12,688,324,12.4
3,22,13,85,85,10.9
3,22,14,126,126,9.58
3,22,15,369,289,7.13
3,22,16,64,64,6.27
3,22,17,118,103,7
3,22,18,9,9,5.45
3,23,7,135,52,0.46
3,23,8,328,102,1.67
3,23,9,538,93,3.53
3,23,10,679,133,5.28
3,23,11,770,162,6.22
3,23,12,531,402,6.9
3,23,13,492,392,7.88
3,23,14,667,227,8.34
3,23,15,518,220,8.6
3,23,16,428,74,8.62
3,23,17,202,81,8.17
3,23,18,27,15,7.38
3,24,7,131,62,2.04
3,24,8,326,112,4.1
3,24,9,518,138,6.04
3,24,10,632,212,8.58
3,24,11,767,178,10.51
3,24,12,769,244,11.51
3,24,13,649,347,12.98
3,24,14,555,333,13.56
3,24,15,393,292,13.46
3,24,16,297,205,13.12
3,24,17,200,88,12.27
3,24,18,27,17,11.28
3,25,7,148,52,2.23
3,25,8,351,87,5.55
3,25,9,549,93,8.54
3,25,10,708,97,10.5
3,25,11,819,89,12.22
3,25,12,874,70,13.94
3,25,13,826,125,14.91
3,25,14,695,201,15.12
3,25,15,367,293,15.28
3,25,16,391,143,14.81
3,25,17,217,75,14.24
3,25,18,30,17,13.31
3,26,7,150,56,5.44
3,26,8,366,71,7.03
3,26,9,367,266,8.56
3,26,10,113,113,10.63
3,26,11,539,387,11.99
3,26,12,595,399,12.43
3,26,13,554,397,13.12
3,26,14,430,357,12.75
3,26,15,337,288,12.63
3,26,16,335,197,11.84
3,26,17,87,85,10.83
3,26,18,19,17,9.68
3,27,7,116,82,5.32
3,27,8,183,166,5.83
3,27,9,184,183,7.09
3,27,10,333,309,9.63
3,27,11,395,361,12.03
3,27,12,223,223,13.45
3,27,13,292,289,14.52
3,27,14,92,92,14.78
3,27,15,168,168,15.02
3,27,16,148,147,14.82
3,27,17,108,101,14.21
